ref	old	new
refs/heads/agent/integrate-control-pty-qualification	b2f6e57c91f5506f5e241e123a11d101efd073a1	b2f6e57c91f5506f5e241e123a11d101efd073a1
refs/heads/agent/pty-self-routing-model-qualification	f3938407bf7db9749a27a79f298d4dada31308ff	f3938407bf7db9749a27a79f298d4dada31308ff
refs/heads/agent/scheduler-handoff-shared-context	89c7aae259caf5518d99b020a8979c22db59830f	89c7aae259caf5518d99b020a8979c22db59830f
refs/heads/benchmark/glm53-3.6-evidence-20260901	3bbd5bdfe69d8a7af4afb26b799696b01fdf3c0f	ea4088313452387045fcd262dd9b7ba985565e75
refs/heads/benchmark/glm53-agent-control-3.6-first-cut-20260901	5acdde13e41d58b511a33ac0e15f3dc6d3930613	5acdde13e41d58b511a33ac0e15f3dc6d3930613
refs/heads/benchmark/glm53-direct-3.6-first-cut-20260901	5acdde13e41d58b511a33ac0e15f3dc6d3930613	5acdde13e41d58b511a33ac0e15f3dc6d3930613
refs/heads/codex/bounded-context-browser-provider-20260818	f57c7d80bf85391494d003bdf9ab0134d9c1ead1	f57c7d80bf85391494d003bdf9ab0134d9c1ead1
refs/heads/design/v3-agtx-pre-freeze-20260821	c0dac86dfffeed84289988bb4480791990d99728	c0dac86dfffeed84289988bb4480791990d99728
refs/heads/evidence/3.8.1-dashboard-video-sign-off	36e124bb5fd4221cb2077669cd742c15d4faed62	e6a46b1d632b4eef054be4d906091338bd019ca0
refs/heads/feature/3.2-persistent-teammates	7b2685164f8889b6362e0a7ba941c02a2bef8c79	7b2685164f8889b6362e0a7ba941c02a2bef8c79
refs/heads/feature/3.3.1-cost-accounting-20260831	0dee5d3f66bb079563d7a3853c92a82b31609861	0dee5d3f66bb079563d7a3853c92a82b31609861
refs/heads/feature/3.4-parameterized-jobs	4b04f3942201d65748c6c68bf9669cdea1841d19	4b04f3942201d65748c6c68bf9669cdea1841d19
refs/heads/feature/3.7-token-aware-baton-routing	e7fe5c010bbea75e41f8ec875aab08caaa738104	e7fe5c010bbea75e41f8ec875aab08caaa738104
refs/heads/feature/3.8-governed-retrieval-context-intelligence	b4b6047e02cc55dbed305476fe411c2ff965ce38	b4b6047e02cc55dbed305476fe411c2ff965ce38
refs/heads/feature/3.8.1-credential-residency	c695263471b10a1db6212b49bb9e9f8686608619	c695263471b10a1db6212b49bb9e9f8686608619
refs/heads/feature/3.8.2-human-readable-execution-history	df666849b1390e482c041423fc0d061d75763ccf	df666849b1390e482c041423fc0d061d75763ccf
refs/heads/feature/3.9-crew-workflow-visualization	47c35026103f8b618a0042d5a0ed7ce7d5d450dd	b5798fafef33182e59584bf2ac450090aa116908
refs/heads/feature/3.9-live-shell-pty-attachment	4c93227b1670672b663a57b6d68e51c54065e0d7	2e4fff3880aedca4a4f7a38f1995337411e12278
refs/heads/feature/3.9-realtime-voice-20260905	a1ff45c8a60b671bb6a92e6beeeae43ebb52c41b	b4cf12e27ed24bba27e4010658ebf10d4a89c214
refs/heads/feature/3.9-resilient-execution	9e7696fd223a1eb80f5f83c94935b5b5ba8ef20e	51eabc352ed7a337754f6ba41642a1ed76e4ff90
refs/heads/feature/4.2-transport-integrity	b10d1852946776d6a4583783f1d49957ae9db965	b10d1852946776d6a4583783f1d49957ae9db965
refs/heads/feature/4.3-cache-aware-expert-delegation	a6d35253bb40c2da049945430ebc1960cde4468b	a6d35253bb40c2da049945430ebc1960cde4468b
refs/heads/feature/4.4-marm-memory-qualification	e449cd4d40fb570bacbd79ce64a2e5892f4372fa	912b6ed1dd045df40d4b7ff2d67fc198ff97711f
refs/heads/feature/4.4-pisper-review	e3a3629b5a0a0b3c2510a9068fd34b76f0154771	6adf04cb68cdcdab4e5145883dc9586402eef096
refs/heads/feature/4.4-ux-session-replay	151f97b37838d2590423a7831bf9adb3ecf0d66a	6720b4d94cba6b289a5b21b8f7603b244e1bab37
refs/heads/feature/4.5-cross-device-session-vault	5b0881afe416f0b56e32638109aaf509b2738928	5edf00a25e2687f4f5d0707c34ccb7d94a8e9033
refs/heads/feature/4.5-environment-discovery	7c40497e77570efe9d644b959a0b2ebe5d776127	fe8d8d51a1ebd93beffe715d871339e0c7fe3d5a
refs/heads/feature/4.5-governed-skill-learning	7e6327bce870c9c7cccd7cffe02ca18e7efe7ddd	bf8a7f95adb81f3cd10bf3bb0e39e9592c4b4d3d
refs/heads/feature/4.5-instruction-resolver-shadow	25279017ab6c49cfe67f00c144636d0551463244	4486dfdc6cde92f112b8eb86ca5b91c6f38a5a38
refs/heads/feature/4.5-release-closure	c50fcfae87404c0e83609c63964ae2922bd94c66	0cd4d5fb02b3d5391e4a2ff677f7e0c895f91708
refs/heads/feature/4.5-release-gate-completion	0dc4fa30e9ee1f4d5218bdde956676201047ec9c	892f078d379a8c65f289607e39ba656b160cf368
refs/heads/feature/4.5-runtime-map	fe9d87af1530fe498e309594940bfe36532c42c0	77c9995fa4e41874376b380a3bb414946e5d17e5
refs/heads/feature/adaptive-multi-model-orchestration-20260907	f8552ae882d345520bca2049215d4e95274c88af	f8552ae882d345520bca2049215d4e95274c88af
refs/heads/feature/agent-control-3.5-identity-delegation-acp	2aa19ce2a56ce7ded11d36b6cf96b02543e2ab17	2aa19ce2a56ce7ded11d36b6cf96b02543e2ab17
refs/heads/feature/agent-control-3.6-acp-runtime-routing	5acdde13e41d58b511a33ac0e15f3dc6d3930613	5acdde13e41d58b511a33ac0e15f3dc6d3930613
refs/heads/feature/android-adb-pairing-helper-20260831	b45d7b96c95ed539ada10f49ba0b68ecaf19d6e6	b45d7b96c95ed539ada10f49ba0b68ecaf19d6e6
refs/heads/feature/animated-dashboard-bots	8ab4bce4f9d5d26756265bca7affe49b9f8dd168	8c99afbe362424ea3d8f311b927eadd02a60233b
refs/heads/feature/glances-monitoring-20260905	b104f3369fa5d70b01339f9e1cdea9a6f4b0b0fc	b104f3369fa5d70b01339f9e1cdea9a6f4b0b0fc
refs/heads/feature/harness-efficiency-context-budgeting-20260827	be72754f3320c516c4bfc257deeeeebf93112399	be72754f3320c516c4bfc257deeeeebf93112399
refs/heads/feature/model-provider-registry	83bc17083fc460f55ef0ba2910736bacf8c9359b	83bc17083fc460f55ef0ba2910736bacf8c9359b
refs/heads/feature/openwa-whatsapp-20260905	282dbc7f8e0ae886aa4d071bf8638944bbeb7acd	06cde86196109e4ebc8ff6f8aff3e3b5c1f36634
refs/heads/feature/poe-conversational-operator-20260908	e761cc032e1bf6ac9327e917507b0f9fd6dd919a	d8f7a3237826737a7d2930a782a96ef170eba9f7
refs/heads/feature/poe-dashboard-operator-20260908	c93a2ec0f7c0f2908bbced7af696e022708919a6	6fd18c6c9caad6c0425fa2b08e99da724883334e
refs/heads/feature/protected-resource-mutation-governance-20260907	eb291f9c9f2ff0fb74956b367c16218ef0b057f3	54975bd3b1bf65f74adcaaee3f64b40623b0ab38
refs/heads/feature/real-mutation-routing-pass-20260828	73607d0e46dc373e65bddfc4716d1e2452156e6c	73607d0e46dc373e65bddfc4716d1e2452156e6c
refs/heads/feature/token-aware-command-output-20260827	75a64a3f269a4d586811ae5a9ad74d89dabdd649	75a64a3f269a4d586811ae5a9ad74d89dabdd649
refs/heads/feature/universal-control-plane-status	7ea04fb34809c4520253b2892bfc40df461056f4	7ea04fb34809c4520253b2892bfc40df461056f4
refs/heads/fix/codex-cached-input-telemetry	d3d0376db6e00bed76deb8c5336fa49cdfc1554a	d3d0376db6e00bed76deb8c5336fa49cdfc1554a
refs/heads/integration/3.0.x-adaptive-harness	a12f3afbdce9dfebf697e7a42801c1d7f8dd7fcd	a12f3afbdce9dfebf697e7a42801c1d7f8dd7fcd
refs/heads/integration/3.1-adaptive-harness-dispatch	6d3378cac2991e4a3720684b4ee3f320e65e1572	6d3378cac2991e4a3720684b4ee3f320e65e1572
